Indicator	Type	ORDER	Description
5.2.2	Consideration(s)	4330	The developments can encompass institutional (e.g. new collaboration protocols), operational (e.g. improvements in communication channels) and/or infrastructural (e.g. sharing of facilities) measures.
5.2.2	Example(s)	4340	A city that is putting in place a plan to enhance the level of collaboration with local small industries, is considered to have a development plan 'under implementation' at a 'local' level.
5.2.2	Example(s)	4350	A plan that does not include the elements cited in the description, or if the plan is still in its conceptual or feasibility study stage, will be considered as 'under development'.
5.3	General Consideration(s)	4360	Civil society organisations (CSOs) are all formal and informal associations of individuals around which society voluntarily organises itself around shared interests. These include cultural-, environmental-, political-, scientific-, religious- or philanthropic-focused organisations, community- and neighbourhood-based groups, non-governmental organisations, indigenous groups, non-profit, charitable organisations and faith-based organisations, amongst others.
5.3	General Consideration(s)	4370	There is a particular interest in understanding the engagement of local government with the civil society regarding the decision-making process.
5.3.1	Consideration(s)	4380	Neighbourhood associations data can be given in terms of fraction of the neighbourhoods with representative associations in relation to total neighbourhoods, or regarding area of the city with representative associations.
5.3.1	Consideration(s)	4390	Consider a neighbourhood association as a CSO composed by member of a specific city area that advocate for better living conditions of their community or organise activities within the neighbourhood.
5.3.2	Consideration(s)	4400	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.
5.3.2	Consideration(s)	4410	This entails all relevant local government entities and the coordination and engagement of the different stakeholders. The evaluation of available funding options (public and/or private) is of particular relevance for the economic sustainability of the plan.
5.3.2	Consideration(s)	4420	The developments can encompass institutional (e.g. new policies), operational (e.g. CSOs' capacity building) and/or infrastructural (e.g. free rental offices) measures.
5.3.2	Consideration(s)	4430	Take into account the relevance of regional and national level development plans in the local context and select the most appropriate spatial level for which the plan was developed.
5.3.2	Example(s)	4440	If the national government is elaborating a policy to simplify the process of registering CSOs, clarifying all the legal requirements and procedures, then the development plan is considered 'under development' at a 'national' level.
5.3.2	Example(s)	4450	A city that has put in place a plan to provide local CSOs administrative supports, is considered to have a development plan 'under implementation' at a 'local' level.
5.3.2	Example(s)	4460	A plan that does not include the elements cited in the description, or if the plan is still in its conceptual or feasibility study stage, will be considered as 'under development'.
5.4	General Consideration(s)	4470	Consider as major institutions national and/or international non-government organisations, financing institutions and academia, as well as intergovernmental and multilateral organisations that work in a variety of issues such as development work, promoting health, education, the rule of law, environment, good governance, etc.
5.4	General Consideration(s)	4480	There is a particular interest in understanding the level of engagement of the local government with other major institutions that operate in the city's area, regarding the decision making process.
5.4	General Consideration(s)	4490	The different institutions should be considered separately.
5.4.1	Consideration(s)	4500	Institution's target data should specify the relevant issue addressed by the institution's action and give information on the population and/or the city's area targeted.
5.4.1	Example(s)	4510	If an institution is developing a pilot project, in a specific high school, addressing gender issues, then the subject addressed would be 'gender rights' and the number of students should be specified.
5.4.1	Example(s)	4520	If a local university is collaborating with the city to elaborate a strategy to reforest a city's area with autochthonous species, then the subject addressed would be 'environment' and the reforestation area should be specified.
5.4.2	Consideration(s)	4530	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.
5.4.2	Consideration(s)	4540	This entails all relevant local government entities and the coordination and engagement of the different stakeholders. The evaluation of available funding options (public and/or private) is of particular relevance for the economic sustainability of the plan.
5.4.2	Consideration(s)	4550	The developments can include institutional (e.g. new international agreements), operational (e.g. capacity building) and/or infrastructural (e.g. providing warehouses) measures.
5.4.2	Consideration(s)	4560	Take into account the relevance of regional and national level development plans in the local context and select the most appropriate spatial level for which the plan was developed.
5.4.2	Example(s)	4570	When a city has a long-term partnership with an international non-governmental institution to provide capacity training on international trade policies, which is reviewed accordingly to the plan's implementation, then the plan is considered as 'under implementation, with regular monitoring and revision' at a 'local' level.
5.4.2	Example(s)	4580	If the local government is developing a plan with a multilateral organisation to provide grants for students undergoing economic hardship, then the plan is considered 'under development' at a 'local' level.
6.1	General Consideration(s)	4590	Three major educational levels are considered in this assessment: primary, which refers to basic education and typically covers 6 years of full-time schooling; secondary, which entails the second level of basic education, usually ending 12 to 13 years after the beginning of primary education; and tertiary, which includes higher level education provided by universities and faculties.
6.1	General Consideration(s)	4600	Both private and public education services should be included.
6.1.1	Consideration(s)	4610	Enrolment figures include children within schooling age (related to the considered education level) that are registered in schools. Data should be gender-sensitive; these are commonly provided in relative terms (i.e., percentage of children enrolled), but can also be given in absolute numbers (i.e., total amount of students).
6.1.1	Consideration(s)	4620	Attendance rate refers to the percentage of children within schooling age (related to the considered education levels) who actually partake in classes.
6.1.1	Consideration(s)	4630	Data can be given for primary education only or for both primary and secondary levels, and usually considers people under the age of 15 (varying based on local statistical definitions).
6.1.1	Consideration(s)	4640	Spare capacity refers to the possibility of the educational system, at the different levels, to accommodate the anticipated growth in demand.
6.1.1	Consideration(s)	4650	Data is usually provided considering students and teachers from primary and secondary schools, or considering students below the age of 15 (varying based on local statistical definitions).
6.1.1	Consideration(s)	4660	Figures should be gender-sensitive; these are commonly provided in relative terms (i.e., percentage of adults with primary/secondary/tertiary education), but can also be given in absolute numbers (i.e., total amount of adults with primary/secondary/tertiary education).
6.1.1	Consideration(s)	4670	Generally, adult population refers to people above the age of 15 and below the age of 65, but can vary based on local definitions.
6.1.1	Consideration(s)	4680	Literacy rate refers to population that can both read and write, understand an everyday life simple short statement and that usually has the ability to make simple arithmetic calculations (UNESCO).
6.1.1	Consideration(s)	4690	Figures should be gender-sensitive; these are commonly provided in relative terms (i.e., percentage of literate adults), but can also be given in absolute numbers (i.e., total amount of literate adults).
6.1.1	Consideration(s)	4700	Generally, adult population refers to people between 15 and 65 years old, but can vary based on local definitions.
6.1.2	Consideration(s)	4710	The different levels of jurisdiction of the local government over the different components of the educational system can be considered separately.
6.1.2	Consideration(s)	4720	This entails all relevant local government entities, and their competences to perform the management of institutional, operational and infrastructural aspects of the educational system, including the coordination of the different stakeholders.
6.1.2	Example(s)	4730	A city with both privately-owned and public primary schools, can 'monitor' the former, whilst 'fully controlling and operating' the latter.
6.1.2	Example(s)	4740	A city with federally-controlled universities (tertiary level), may be only 'informed' of their functioning.
6.1.3	Consideration(s)	4750	The different educational levels and/or institutions can be considered separately.
6.1.3	Consideration(s)	4760	Data is commonly provided in relative terms (i.e., percentage of days lost in relation to the total academic days), but can also be given in absolute numbers (i.e., total amount of days lost).
6.1.3	Consideration(s)	4770	The answer should take into account the local context in terms of 'normal circumstances', and how eventual disruptions affect the functioning of the educational system.
6.1.3	Example(s)	4780	A city with seasonal inundations, but where the schools functioning is disrupted only by one or two days, not affecting the school academic year, can consider those as 'no major disruptions'.
6.1.3	Example(s)	4790	A city where university staff strikes delay the school year, may consider these as 'significant disruptions'.
6.1.4	Consideration(s)	4800	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.
6.1.4	Consideration(s)	4810	This entails all relevant local government entities and the coordination and engagement of the different stakeholders. The evaluation of available funding options (public and/or private) is of particular relevance for the economic sustainability of the plan.
6.1.4	Consideration(s)	4820	The developments can encompass institutional (e.g. new policies), operational (e.g. better staff management) and/or infrastructural (e.g. construction of new educational facilities) measures.
6.1.4	Consideration(s)	4830	Take into account the relevance of regional and national level development plans in the local context and select the most appropriate spatial level for which the plan was developed.
6.1.4	Example(s)	4840	A city currently constructing new primary schools, based on a local development plan, has its plan categorised as 'under implementation' at the 'local' level.
6.1.4	Example(s)	4850	A national plan being developed that requires cities to establish school's transportation system, would be classified as 'under development' at the 'national' scale.
6.1.5	Consideration(s)	4860	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It is often multi-sectoral, but particularities regarding the educational system should be explicit.
6.1.5	Consideration(s)	4870	The strategy can consider the re-establishment of the affected facilities, or the provision of alternatives for students and teachers (e.g., temporary facilities or relocation of students).
6.1.5	Consideration(s)	4880	Take into account the relevance of regional and national level development plans in the local context and select the most appropriate spatial level for which the plan was developed.
6.1.5	Example(s)	4890	If a regional plan has been agreed on, considering the reshuffle of students within neighbouring cities in case of emergencies in one of them, and defined roles and responsibilities have been assigned and informed, it is considered as 'implemented' at the 'regional' level.
6.1.5	Example(s)	4900	If the only available document is a national plan, but the relevant local actors have not been informed, it should be considered as 'under implementation', and the 'national' level should be selected.
6.2	General Consideration(s)	4910	Emergency and rescue services aim at ensuring public health and safety by addressing emergencies. These include firefighters (professionals or volunteers), rescue teams, emergency medical services (EMS), coastguard, hazmat (removal of hazardous materials), etc. Both state- and privately-run teams should be considered.
6.2	General Consideration(s)	4920	This assessment also considers the availability of facilities that can be utilised in case of large scale emergencies, for shelter or stocking of supplies, for example. Both state- and privately-owned facilities should be included.
6.2.1	Consideration(s)	4930	For the number of responders, each organisation can be considered separately. Data is usually given in relative terms (number of responders per 100,000 inhabitants), or absolute number of responders.
6.2.1	Consideration(s)	4940	Please describe the available facilities in terms of type (e.g. school, arena, park, etc.), estimated size and/or capacity, and anticipated purpose (e.g. storage of supplies, shelter, health care, meeting point, etc.).
6.2.2	Consideration(s)	4950	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
6.2.2	Consideration(s)	4960	This entails all relevant local government entities, and their competences to perform the management of institutional, operational and infrastructural aspects of emergency response, including the coordination of the different stakeholders.
6.2.2	Consideration(s)	4970	There is a particular interest in understanding how the municipality can utilise these resources in case of an emergency in a larger scale.
6.2.2	Example(s)	4980	Some of these services, for example for medical care, can be privately-owned, whilst the local government 'monitors' the quality of the service that is delivered.
6.2.2	Example(s)	4990	The local government can have 'official protocols in place' with schools that can be used as shelter in case of emergencies, whilst having 'no data available' regarding private football fields that can be used for evacuation of surrounding facilities.
6.2.3	Consideration(s)	5000	Please provide the average response time considering all the different emergency response team(s). There is an interest in understanding the quickness the events are responded to, regardless of the involved institution.
6.2.4	Consideration(s)	5010	The different plans for the distinct human or material resources can be considered separately.
6.2.4	Consideration(s)	5020	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.
6.2.4	Consideration(s)	5030	This entails all relevant local government entities and the coordination and engagement of the different stakeholders. The evaluation of available funding options (public and/or private) is of particular relevance for the economic sustainability of the plan.
6.2.4	Consideration(s)	5040	The developments can encompass institutional (e.g. new institutional arrangements), operational (e.g. better staff management) and/or infrastructural (e.g. provision of the use of new facilities) measures.
6.2.4	Consideration(s)	5050	Take into account the relevance of regional and national level development plans in the local context and select the most appropriate spatial level for which the plan was developed.
6.2.4	Example(s)	5060	A local fire department currently training new staff, based on a development plan, is categorised as having a plan 'under implementation' in the 'local' level.
6.2.4	Example(s)	5070	A plan that is still in its conceptual or feasibility study stage will be considered as 'under development'.
6.2.5	Consideration(s)	5080	The different plans for the distinct human or material resources can be considered separately.
6.2.5	Consideration(s)	5090	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It is often multi-sectoral, but particularities regarding alternatives for emergency response should be explicit.
6.2.5	Consideration(s)	5100	This can include, for example, partnerships with nearby municipalities for the use of responders or facilities, training of citizens, use of staff from other municipal forces, or regional/national teams.
6.2.5	Consideration(s)	5110	Take into account the relevance of regional and national level contingency plans in the local context and select the most appropriate spatial level for which the plan was developed.
6.2.5	Example(s)	5120	If a plan assessing local alternatives for sheltering people during disasters has been elaborated, and the locations have been verified, it is considered as 'implemented' in the 'local' level.
6.2.5	Example(s)	5130	In case of a big fire event, a 'regional' plan 'under implementation' can be currently being agreed on, which can include, for example, the cooperation between organisations from different neighbouring cities.
6.2.5	Example(s)	5140	If the only available document is a regional plan, but the relevant local actors have not been informed, it should be considered as 'developed but not implemented', and the 'regional' level should be selected.
6.3	General Consideration(s)	5150	The whole food provision chain (i.e., production, processing, distribution and access), and the different means of population having access to aliments should be considered in the assessment (e.g. urban farms, supermarkets, public markets, public or private food distribution schemes, etc.).
6.3	General Consideration(s)	5160	There is a particular interest in basic foods (e.g. breads, dairy products, eggs, vegetables, meat, cereals, etc.), according to local particularities.
6.3.1	Consideration(s)	5170	Malnutrition refers to the condition where a person's diet does not provide proteins, energy and nutrients for an adequate growth and maintenance. It encompasses undernutrition (i.e., shortage of nutrients) and overnutrition (i.e., overweight and obesity).
6.3.1	Consideration(s)	5180	Urban farming (or agriculture) is the practice of cultivating, processing and distributing food within the city, or in peri-urban areas. Land share data can be given in terms of percentage of the city area or the total area (e.g. in sq. metres) utilised to this end.
6.3.2	Consideration(s)	5190	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
6.3.2	Consideration(s)	5200	This entails all relevant local government entities, and their competences to perform the management of institutional, operational and infrastructural aspects of food provision, including the coordination of the different stakeholders.
6.3.2	Example(s)	5210	Usually, the city would have limited authority over food production, processing and distribution activities, but can 'exert influence' over the public access by reducing taxes for certain products, or securing land for farming.
6.3.3	Consideration(s)	5220	The answer should take into account the local context in terms of 'normal circumstances', and how eventual shortages can affect the provision of food for the population.
6.3.3	Consideration(s)	5230	There is a particular interest in shortages that can affect the end-user, since storage facilities can minimise the impacts of shortage in the production and processing parts of the provision chain.
6.3.3	Consideration(s)	5240	Inflation rate is a measure of the increase on the average price of a certain product or service. It can be assessed in a variety of time periods, but usually provided on a monthly- or yearly-basis.
6.3.3	Example(s)	5250	Seasonal shortages' would be the answer in cases where dry seasons affect the production of a certain food product in the region in such a way that reduces its availability for the public.
6.3.4	Consideration(s)	5260	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.
6.3.4	Consideration(s)	5270	This entails all relevant local government entities and the coordination and engagement of the different stakeholders. The evaluation of available funding options (public and/or private) is of particular relevance for the economic sustainability of the plan.
6.3.4	Consideration(s)	5280	The developments can consist of institutional (e.g. reducing taxes to minimise inflation), operational (e.g. improving distribution management) and/or infrastructural (e.g. upgrading infrastructure for production) measures.
6.3.4	Consideration(s)	5290	Take into account the relevance of regional and national level development plans in the local context and select the most appropriate spatial level for which the plan was developed.
6.3.4	Example(s)	5300	A city currently assigning urban land for farming, based on a development plan, whilst feeding back newly-acquired information into the process, has a strategy categorised as 'under implementation, with regular monitoring and revision' at the 'local' level.
6.3.4	Example(s)	5310	A plan that does not include the elements cited in the description, or if it is still in its conceptual or feasibility study stage, will be considered as 'under development'.
6.3.5	Consideration(s)	5320	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It is often multi-sectoral, but particularities regarding food provision should be explicit.
6.3.5	Consideration(s)	5330	The plan can include measures to recover the affected operators, and/or alternative means to provide food for the population.
6.3.5	Consideration(s)	5340	Take into account the relevance of regional and national level contingency plans in the local context and select the most appropriate spatial level for which the plan was developed.
6.3.5	Example(s)	5350	If the plan has been elaborated locally, alternative supply means have been verified, and roles and responsibilities have been assigned, it is considered as 'implemented' on the 'local' level.
6.3.5	Example(s)	5360	If the only available document is a national plan, but the relevant local actors have not been informed and responsibilities assigned, it should be considered as 'developed but not implemented', and the 'national' level should be selected.
6.4	General Consideration(s)	5370	Consider all relevant health care facilities (e.g. public and private hospitals and clinics) including all aspects of the health care system (e.g. health workers, equipment, infrastructure, operation).
6.4.1	Consideration(s)	5380	Data can be given in relative terms, e.g. number of physicians per 1,000 people, or in absolute terms.
6.4.1	Consideration(s)	5390	Hospital beds include all private and public beds available in hospitals or other health facilities for patient care.
6.4.1	Consideration(s)	5400	Regard physicians as all specialists and general medical practitioners working in private and/or public healthcare facilities with a professional qualification recognised by the government.
6.4.1	Consideration(s)	5410	Nursing personnel includes nurses and midwives working in private and/or public healthcare facilities with a professional qualification recognised by the government.
6.4.1	Consideration(s)	5420	Universal health coverage means that all people receive the health services they need without suffering financial hardship when paying for them. It should address the main health problems in the community, providing promotive, preventive, curative and rehabilitative services accordingly.
6.4.2	Consideration(s)	5430	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
6.4.2	Consideration(s)	5440	This entails all relevant local government entities, and their competences to perform the management of institutional, operational and infrastructural aspects of the health care system, including the coordination of the different stakeholders.
6.4.2	Example(s)	5450	When the Ministry of Health determines new health care treatment protocols and only conveys the information to the health care operators, it is considered that the local government is 'not informed'.
6.4.2	Example(s)	5460	If a city establishes and monitors the health targets of a privately-owned hospital, it is considered that the city 'exerts control'.
6.4.3	Consideration(s)	5470	The answer should take into account the local context in terms of 'normal circumstances', and how eventual disruptions can affect the usual functioning of the system.
6.4.3	Consideration(s)	5480	Disruptions in the operation can be caused, for example, by seasonal virus outbreaks that increase significantly the demand of health care, equipment failure or shortage of human resources.
6.4.3	Example(s)	5490	In a city hospital where the capacity for attending the population in the emergency room is very low, frequently leading to long waiting periods and jeopardizing the health care of the population, 'significant disruptions' should be selected.
6.4.3	Example(s)	5500	If there are recurrent power shortages in a certain part of the city where a clinic is situated, but due to the existence of back-up systems they do not affect its operation, then the option selected should be 'no major disruptions'.
6.4.4	Consideration(s)	5510	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.
6.4.4	Consideration(s)	5520	This entails all relevant local government entities and the coordination and engagement of the different stakeholders. The evaluation of available funding options (public and/or private) is of particular relevance for the economic sustainability of the plan.
6.4.4	Consideration(s)	5530	The developments can consist of institutional (e.g. new health policies), operational (e.g. better management of health care facilities) and/or infrastructural (e.g. construction of new day clinics) measures.
6.4.4	Consideration(s)	5540	Take into account the relevance of regional and national level development plans in the local context and select the most appropriate spatial level for which the plan was developed.
6.4.4	Example(s)	5550	A city with a lack of nursing personnel that is developing a policy including special financial incentives in order to attract these health care practitioners, has a plan 'under implementation' at a 'local' level.
6.4.4	Example(s)	5560	A plan that does not include the elements cited in the description, or if the plan is still in its conceptual or feasibility study stage, will be considered as 'under development'.
6.4.5	Consideration(s)	5570	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It is often multi-sectoral, but particularities regarding the health care system should be explicit.
6.4.5	Consideration(s)	5580	The strategy can include, for example, partnerships with nearby municipalities for the use of health care facilities or measures to recover the affected operators.
6.4.5	Consideration(s)	5590	Take into account the relevance of regional and national level contingency plans in the local context and select the most appropriate spatial level for which the plan was developed.
6.4.5	Example(s)	5600	If there is a plan, determining a coordination protocol with neighbouring cities' hospitals in case there is a disruption in the city's health care facilities, which is regularly reviewed and tested, then it is considered 'implemented, periodically monitored and reviewed' at a 'local' level.
6.4.5	Example(s)	5610	If the only available document is a national plan, but the relevant local actors have not been informed and responsibilities assigned, it should be considered as 'developed but not implemented', and the 'national' level should be selected.
6.5	General Consideration(s)	5620	Law enforcement covers any institution that has as its objective enforcing the law by discovering, deterring, rehabilitating or punishing persons who violate laws. It includes entities such as civil police, investigation units, transit police, federal police, tactical groups, special operation squads, and drug enforcement agencies. Both state- and privately-run institutions should be considered.
6.5	General Consideration(s)	5630	Criminal justice refers to systems of government practices and entities aiming at maintaining social control, deterring and mitigating crime, or sanctioning people who violate laws. It usually concerns three main bodies: legislative (e.g. city council), adjudication (e.g. courts) and correction (e.g. jails).
6.5.1	Consideration(s)	5640	The different organisations can be considered separately.
6.5.1	Consideration(s)	5650	Data is usually given in relative terms (e.g. per 100,000 inhabitants), or in absolute figures (e.g. total number of officers).
6.5.2	Consideration(s)	5660	The different levels of jurisdiction over each organisation can be considered separately.
6.5.2	Consideration(s)	5670	This entails all relevant local government entities, and their competences to perform the management of institutional, operational and infrastructural aspects of law enforcement team(s), including the coordination of the different stakeholders.
6.5.2	Example(s)	5680	Some of these services can be managed in the national level, whilst the local government 'monitors' the activities being conducted.
6.5.3	Consideration(s)	5690	Please provide the average response time considering all the different law enforcement team(s). There is a particular interest in understanding the quickness the events are responded to, regardless of the law enforcement institution.
6.5.3	Consideration(s)	5700	Please include all people who are incarcerated in corrective facilities and have faced or will face trial and/or prosecution.
6.5.3	Consideration(s)	5710	Data can be given in terms of days or months, and commonly consider only felonies (serious crimes, such as homicides and burglary), based on local definitions.
6.5.3	Consideration(s)	5720	Pre-trial detention refers to prisoners who are in remand, i.e., awaiting for trial or sentence. It is usually given in terms of percentage over the total amount of prisoners, or in absolute terms.
6.5.4	Consideration(s)	5730	The different plans for each organisation can be considered separately.
6.5.4	Consideration(s)	5740	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.
6.5.4	Consideration(s)	5750	This entails all relevant local government entities and the coordination and engagement of the different stakeholders. The evaluation of available funding options (public and/or private) is of particular relevance for the economic sustainability of the plan.
6.5.4	Consideration(s)	5760	The developments can encompass institutional (e.g. new policies), operational (e.g. better staff management) and/or infrastructural (e.g. construction of new facilities) measures.
6.5.4	Consideration(s)	5770	Take into account the relevance of regional and national level development plans in the local context and select the most appropriate spatial level for which the plan was developed.
6.5.4	Example(s)	5780	A government currently defining new regulations on law enforcement considering local circumstances, based on a national development plan, is considered as having a plan 'under development' at the 'local' level.
6.5.4	Example(s)	5790	If the national government has plans to equip small municipalities around the country with new justice courts, the strategy will be considered as 'under development' on the 'national level'.
6.5.5	Consideration(s)	5800	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It can be multi-sectoral, but particularities regarding alternatives for law enforcement should be explicit.
6.5.5	Consideration(s)	5810	This can include, for example, partnerships with nearby municipalities, training of citizens, use of staff from other municipal forces, or regional/national teams.
6.5.5	Consideration(s)	5820	Take into account the relevance of regional and national level contingency plans in the local context and select the most appropriate spatial level for which the plan was developed.
6.5.5	Example(s)	5830	If a backup plan for disastrous events has been elaborated in the city level, and arrangements with national forces have been agreed on, it is considered as 'implemented' on the 'local' scale.
6.5.5	Example(s)	5840	If the national government plans to implement agreements with local governments to provide support in case of emergencies, the plan is 'under development' on the 'national' level.
6.6	General Consideration(s)	5850	Social care entails all the public programs provided to individuals by the government or other institutions ensuring access to adequate resources for food, shelter and health, promoting well-being and income security for the vulnerable segments of the population.
6.6.1	Consideration(s)	5860	Population data can be given in relative terms, i.e. fraction of the population that are not covered by social security measures in relation to total population, or in absolute terms.
6.6.1	Consideration(s)	5870	Supporting measures targeting vulnerable groups can encompass actions such as: providing city retirement homes and orphanage, tax benefits to physically disabled people, maternity and paternity leaves, refugees' family reunification policies, capacity training for unemployed people, etc..
6.6.2	Consideration(s)	5880	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
6.6.2	Consideration(s)	5890	This entails all relevant local government entities, and their competences to perform the management of institutional, operational and infrastructural aspects of the social care system, including the coordination of the different stakeholders.
6.6.2	Example(s)	5900	If the social care system is operated and managed at the national level but the local government is consulted in order to determine specific actions and programs, then the 'exerts influence' option should be selected.
6.6.3	Consideration(s)	5910	The different social care measures can be considered separately.
6.6.3	Consideration(s)	5920	The answer should take into account the local context in terms of 'normal circumstances', and how eventual disruptions can affect social care provisions.
6.6.3	Example(s)	5930	When a city's kindergarten is often prevented from operating due to recurrent snowstorms, the 'geographical/environmental' reason should be selected.
6.6.4	Consideration(s)	5940	The different social care measures can be considered separately.
6.6.4	Consideration(s)	5950	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.
6.6.4	Consideration(s)	5960	This entails all relevant local government entities and the coordination and engagement of the different stakeholders. The evaluation of available funding options (public and/or private) is of particular relevance for the economic sustainability of the plan.
6.6.4	Consideration(s)	5970	The developments can consist of institutional (e.g. new protocols), operational (e.g. coordination between social care providers) and/or infrastructural (e.g. improvements on social care facilities) measures.
6.6.4	Consideration(s)	5980	Take into account the relevance of regional and national level development plans in the local context and select the most appropriate spatial level for which the plan was developed.
6.6.4	Example(s)	5990	A city with a capacity training programme for unemployed people, that monitors the success rate and reviews it on a regular basis, has a plan 'under implementation, with regular monitoring and revision' developed at a 'local' level.
6.6.4	Example(s)	6000	A plan that does not include the elements cited in the description, or if the plan is still in its conceptual or feasibility study stage, will be considered as 'under development'.
6.6.5	Consideration(s)	6010	The different social care measures can be considered separately.
6.6.5	Consideration(s)	6020	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It is often multi-sectoral, but particularities regarding the social care system should be explicit.
6.6.5	Consideration(s)	6030	The plan can include measures to recover the affected operators, and/or alternative means to provide social care for the population.
6.6.5	Consideration(s)	6040	Take into account the relevance of regional and national level contingency plans in the local context and select the most appropriate spatial level for which the plan was developed.
6.6.5	Example(s)	6050	If a city is developing a plan establishing alternative shelters for elderlies in case the city's retirement home is compromised, it is considered that the plan is 'under development' at the 'local' level.
6.6.5	Example(s)	6060	If the only available document is a national plan, but the relevant local actors have not been informed and responsibilities assigned, it should be considered as 'developed but not implemented', and the 'national' level should be selected.
7.1	General Consideration(s)	6070	Civic engagement encompasses individual involvement in local government affairs, and people's perceptions of their ability to influence them. It entails individual participation in elections as well as individual and collective relationships with the government through bottom-up and participatory approaches, for example via civil society organisations.
7.1	General Consideration(s)	6080	Civil society organisations (CSOs) are all formal and informal associations of individuals around which society voluntarily organises itself around shared interests. These include cultural-, environmental-, political-, scientific-, religious- or philanthropic-focused organisations, community- and neighbourhood-based groups, non-governmental organisations, indigenous groups, charitable or faith-based organisations, amongst others.
7.1.1	Consideration(s)	6090	Data is usually given in relative numbers (i.e., as a percentage in relation to the total eligible population), or in absolute numbers (i.e., total amount of voters), as long as the total eligible population value is provided. Both should be specified by gender.
7.1.2	Consideration(s)	6100	Consider the total number of candidates for all the local and sub-local political positions (including executive and legislative power, when applicable). Take into account in the assessment independent candidates as well as all the members of the party-lists running for elections.
7.1.2	Consideration(s)	6110	Data regarding total number of candidates should be specified by gender.
7.1.2	Consideration(s)	6120	Data regarding representativeness can be given in relative numbers (i.e., as a percentage in relation to the total number of candidates), or in absolute numbers (i.e., total amount of candidates from vulnerable social groups).
7.1.2	Consideration(s)	6130	Consider as vulnerable social groups the vulnerable minorities and other groups such as physically disabled people, specific ethnic group, residents of informal settlements, etc.
7.1.3	General Consideration(s)	6140	Consider only bottom-up approaches, that is, citizens and social groups' initiatives to more actively participate in the decision-making process and get involved on the provision of services at local level.
7.1.3	Sub - Consideration(s)	6150	Take into account all relevant initiatives and platforms, such as internet-based, social media, fairs, city advisory groups, councils of elderly and traditional leaders, etc.
7.1.3	Sub - Example(s)	6160	A city with a community-wide initiative to engage all residents in helping the city meets its climate and environmental sustainability goals, should answer 'yes' and describe it accordingly.
7.1.3	Sub - Consideration(s)	6170	Consider the provision of all relevant services and goods, such as the enforcement of security, recycling initiatives, health provision, psychological support to crime victims, etc.
7.1.3	Sub - Example(s)	6180	A city with a network of civil society organisations that created local security committees which aim to support the local government on the hiring of more law enforcement officers, as the city budget for security is limited, should answer 'yes' and describe it accordingly.
7.1.3	Sub - Consideration(s)	6190	Consider as vulnerable social groups the vulnerable minorities and other groups such as physically disabled people, specific ethnic group, residents of informal settlements, etc.
7.1.3	Sub - Example(s)	6200	A city can have a social group that does not voluntarily participate in decision-making processes for 'social/cultural' reasons.
7.1.3	Sub - Example(s)	6210	A city that has a community living in an informal settlement that cannot afford to travel in order to participate in decision-making discussions, should answer 'yes' and select the reasons 'economic' and 'geographical/environmental'.
7.2	General Consideration(s)	6220	Social participation encompasses the inter-relationships between the different social actors, either as individuals or as civil society organisations. These include informal ties (e.g., with family members and neighbours), formal ties (e.g., participation in churches and political groups), bonding or strong ties (e.g., between people that are particularly close, sharing social features such as ethnicity or culture) and bridging or weak ties (e.g., between acquaintances or individuals that are loosely connected and that may span across social groups, as different neighbourhoods or ethnic groups).
